Sample_ID,Easting_ING,Northing_ING,Na2O_%_XRFS,MgO_%_XRFS,Al2O3_%_XRFS,SiO2_%_XRFS,P2O5_%_XRFS,S_mgkg_XRFS,Cl_mgkg_XRFS,K2O_%_XRFS,CaO_%_XRFS,TiO2_%_XRFS,MnO_%_XRFS,Fe2O3_%_XRFS,Sc_mgkg_XRFS,V_mgkg_XRFS,Cr_mgkg_XRFS,Co_mgkg_XRFS,Ni_mgkg_XRFS,Cu_mgkg_XRFS,Zn_mgkg_XRFS,Ga_mgkg_XRFS,Ge_mgkg_XRFS,As_mgkg_XRFS,Se_mgkg_XRFS,Br_mgkg_XRFS,Rb_mgkg_XRFS,Sr_mgkg_XRFS,Y_mgkg_XRFS,Zr_mgkg_XRFS,Nb_mgkg_XRFS,Mo_mgkg_XRFS,Nd_mgkg_XRFS,Sm_mgkg_XRFS,Yb_mgkg_XRFS,Hf_mgkg_XRFS,Ta_mgkg_XRFS,W_mgkg_XRFS,Hg_mgkg_XRFS,Tl_mgkg_XRFS,Pb_mgkg_XRFS,Bi_mgkg_XRFS,Th_mgkg_XRFS,U_mgkg_XRFS,Ag_mgkg_XRFS,Cd_mgkg_XRFS,In_mgkg_XRFS,Sn_mgkg_XRFS,Sb_mgkg_XRFS,Te_mgkg_XRFS,I_mgkg_XRFS,Cs_mgkg_XRFS,Ba_mgkg_XRFS,La_mgkg_XRFS,Ce_mgkg_XRFS,Au_µgkg_FA_ICPMS,Pd_µgkg_FA_ICPMS,Pt_µgkg_FA_ICPMS
595899C,298150,172549,3.2,0.4,13.2,66.4,0.17,500,100,3.515,0.62,0.473,0.128,1.32,6.6,15.3,18.6,1.83,3.3,6.33,31.9,14.6,1.1,3.3,0.4,6.9,178.9,105.4,12.1,198.4,9.6,0.2,21.3,3.2,1.39,5,1.5,4.6,,0.7,27.4,0.6,12.4,4.5,0.25,0.25,0.25,9.8,0.1,0.25,1.4,7,284,38,68,2.5,0.6,0.05
595900C,309227,139244,0.7,1.7,19.1,57.4,0.27,500,100,3.108,0.29,0.943,0.149,6.87,18.3,122.4,101.7,24.75,41.2,34.89,218.5,20.4,1.5,39.4,0.9,6.9,116.7,94.9,36.3,311.1,15.5,1.3,39.6,7.1,3.24,8.3,0.1,5.4,,0.25,25.4,1,10,3,0.1,1,0.25,3.4,1,0.25,5,6,511,45,72,3.9,1.16,0.2
595902C,243434,113725,0.8,1.1,18,60,0.26,500,100,3.045,0.29,0.831,0.964,7.48,13.2,108.7,91.3,36.74,68.7,28.63,169.4,19.9,1.5,26,1.1,16.7,122.6,85.5,34,368.3,15.1,1.1,38.4,7.3,4.97,9.5,1,3.2,,0.3,26.2,0.4,10.9,3.3,0.3,0.2,0.25,3.4,3.8,0.25,12.3,10,581,45,87,3.4,0.92,0.13
595904C,245653,108966,0.4,1.3,14.9,57.5,0.32,100,100,3.056,0.29,0.679,0.317,8.47,12.5,89.8,69.6,27.88,44.7,29.44,228.9,16.8,1.5,74.8,1.1,13.7,120.9,58.6,33.9,324.9,12.4,2,36.5,7,3.47,9.1,0.1,2.8,,0.25,63.6,0.5,11.7,3,0.3,1.4,0.25,4.4,4.2,0.25,11.3,6,577,44,83,3.6,0.9,0.11
595905C,316357,149414,0.6,1.8,15.9,54.5,0.4,177,100,2.659,0.79,0.782,0.878,6.84,14.2,112.4,91.7,92.73,64.6,30.14,198.9,19,1,21.7,0.9,15.2,105.4,89.6,32,240.6,13.3,1.4,35.7,5.5,3.24,6.8,0.6,2.3,,0.25,27.6,0.4,9.7,3.4,0.1,1.2,0.25,2.6,1.1,0.25,11,6,478,41,76,5,5,0.99
595906C,315151,174120,0.7,1.7,20.6,53.9,0.18,500,100,3.254,0.12,1.049,0.488,8.01,17.1,130.5,87.9,39.98,47.7,43.36,184,23.4,2.1,40.9,0.5,33.1,132.4,79.8,40.9,211,16.9,1.6,38.7,7.3,5.2,5.6,2.1,5.1,,0.25,47.8,0.4,12.6,2.7,0.2,0.5,0.25,4.1,1.3,0.25,9.4,5,454,57,107,3.8,1.17,0.38
595907C,232976,99238,0.4,1.6,14,58.4,0.31,148,100,2.743,0.45,0.732,1.03,5.72,14,97.4,68.7,341.1,87.2,48.21,672.9,15.4,1.1,27.7,1.9,18.9,104.4,54,38.9,269.2,13.2,2.2,33.5,6.2,4.28,6.1,0.2,5.1,,0.7,25,1,9.9,3.4,0.3,5.9,0.25,2.8,3,0.2,8.7,4,735,41,78,7.2,1.62,0.05
595908C,311959,137322,0.6,1.3,12.4,62.4,0.3,93,100,2.096,0.68,0.716,0.426,4.73,10.3,81.8,100.9,31.77,31.8,18.24,245.8,12.6,0.8,23.2,1,14.8,72.6,78.2,23.6,546.4,13,0.8,27.6,2.1,3.47,12,0.9,3,,0.25,22,0.8,7.8,2.3,0.25,0.7,0.25,7.8,1.2,0.25,10.6,3,366,34,62,3.6,0.7,0.05
595909C,232089,100215,0.3,1.5,15.1,63.5,0.16,500,100,3.327,0.24,0.669,0.668,5.35,14.5,83.7,60.1,100.29,57.6,134.28,555.5,17.1,1,42.9,1.4,17.4,130.9,44.1,37.7,276,14.6,1.5,34.4,6.2,3.81,8.2,1.2,5.6,,0.6,41.9,0.5,10.3,3.1,0.5,4.6,0.25,4,3.5,0.25,7.3,5,625,45,87,750.4,0.72,0.05
595910C,230991,97542,0.1,1.5,14.6,65.5,0.16,500,100,3.181,0.26,0.664,0.345,5.09,13.6,112,67.6,28.74,29.4,49.42,176.5,15.5,1.4,25.5,1.6,47.5,125.4,35,35.2,325.2,14.4,2.7,36.6,5.4,4.51,8.3,1,4.9,,0.9,45.1,0.6,10.1,3.4,0.9,0.8,0.25,3.7,3.5,0.25,17.1,7,752,43,82,326.7,0.93,0.05
595911C,233031,102694,0.2,1.5,14,63.8,0.18,500,100,2.941,0.21,0.7,0.384,5.86,11.6,82.6,72,22.69,35.7,22.88,139.2,15.2,1.6,18.8,1.1,28.7,110,37,30.4,308.2,13.3,1,30.6,6.5,4.28,7.6,1,4,,0.3,22.5,0.2,10.2,2.8,0.25,0.5,0.25,3.3,3.9,0.25,9.8,7,411,42,81,3.9,0.75,0.05
595912C,231160,118194,0.4,1.8,18,65.4,0.17,500,100,3.076,0.19,0.845,0.193,6.37,12.8,117.8,83.6,21.5,41.9,18.74,102.3,19.3,0.2,10.3,0.6,7.9,117.4,62.4,30.9,315.6,13.9,0.8,31.1,2.9,5.2,7.9,0.5,2.5,,0.7,19.8,0.2,10.3,2,0.25,0.1,0.25,2.8,1.3,0.25,3.2,4,429,42,78,2.9,0.9,0.05
595913C,228908,119573,0.3,2,18.1,61.5,0.16,500,100,3.223,0.22,0.839,0.478,7.26,15.6,119.7,95.3,46.79,54.9,34.68,179.5,17.9,1.3,16.8,0.5,32.8,120.8,39.3,30.2,294.7,13.6,0.5,30.8,6.2,4.05,8,0.3,3.1,,0.6,16.3,0.8,10.1,3.2,0.25,0.5,0.25,2.9,1.1,0.25,10.2,6,453,39,78,0.5,0.25,0.05
595914C,239521,116603,0.4,1.8,19.6,60.8,0.2,500,100,3.264,0.72,0.867,0.174,8.01,17.9,130.8,89,27.56,49.5,28.93,131.1,21.4,1.5,14.5,0.6,18.4,134.3,71.7,34.3,281.1,14.8,1,34.2,5.2,4.74,6.9,0.5,2.7,,0.5,24.3,1.2,11.9,2.9,0.5,0.6,0.25,2.9,1,0.25,4.5,6,533,52,97,2.7,0.8,0.22
595915C,241389,132103,0.1,1,10.2,55.6,0.33,363,100,2.388,2.98,0.64,0.293,3.65,6.7,57.5,65.2,13.5,24.8,15.11,66.5,9.8,0.4,19.7,0.9,41.1,92.3,43,27.4,537,12.2,0.6,24.9,3.3,2.89,13.1,0.6,2.4,,0.8,16.5,0.6,8.9,2.6,0.25,0.3,0.25,1.9,0.9,0.25,9.5,6,308,34,59,3.2,0.74,0.05
595916C,238106,114483,0.4,1.4,16.2,56.4,0.3,165,100,2.743,0.33,0.801,0.216,6.17,13.7,114.4,75.9,22.15,44.3,31.05,127.5,17.4,1.2,12,0.8,21.9,107.7,65.9,31.7,266.5,13.3,0.7,29.5,6.4,4.28,7.5,0.6,2.7,,0.3,24.7,0.1,10.3,2.8,0.25,1,0.25,3.4,2,0.25,6.2,4,408,38,73,3,0.69,0.05
595917C,287381,155611,1.1,1.8,15.6,49.8,0.12,9,100,2.763,0.57,0.94,0.128,5.61,16.7,103.8,62.9,19.99,14.5,20.56,92.2,17.8,1.5,19.1,0.7,39.5,90.6,99.7,23.4,177.5,16.2,1,25.2,4.6,2.77,5.3,0.6,2.2,,0.2,27.2,0.6,7.9,2.5,0.3,0.5,0.25,3.7,0.4,0.25,6.4,6,370,31,53,4.7,1.34,0.05
595918C,232838,116419,0.2,1.5,16.5,63,0.19,500,100,2.847,0.17,0.856,0.213,5.9,12.3,111.6,76.9,22.69,39.2,23.99,97.7,17,1,13.6,0.4,20.8,108.8,43.8,29.7,285,14,0.7,32.2,6.5,3.93,7.5,0.6,3.6,,0.25,16.1,0.3,9.9,2.6,0.25,0.3,0.25,3,1.5,0.25,5.4,4,381,45,83,3.2,0.88,0.05
595920C,303837,160555,0.8,1.6,19.2,60.3,0.14,500,100,3.108,0.32,1.056,0.298,6.68,15,113.2,90.9,27.01,37.1,30.85,93.2,20.7,1.8,20.7,0.8,15.9,128.2,105.1,35.2,280,17.3,1.2,46.2,9.4,5.2,6.7,1,4.5,,0.25,26.6,0.8,13,4.7,0.3,0.25,0.25,5.3,0.6,0.25,9.1,6,492,66,123,395.9,1.32,0.23
595921C,242059,115287,0.2,1,12.3,71.1,0.21,500,100,2.492,0.43,0.671,0.205,4.79,11.6,77.9,67.9,15.56,30.8,16.52,75.8,11.5,1.2,10.7,0.4,14.3,93.5,36.2,25,491.2,12.3,0.7,26.6,4.8,3.35,13.1,0.5,2,,0.25,17.2,0.2,9.2,2.1,0.25,0.3,0.25,2.3,1.3,0.25,4.4,5,348,36,66,8.8,0.68,0.24
595922C,234409,116037,0.3,1.7,18.3,61.7,0.2,500,100,3.129,0.17,0.857,0.274,6.75,16.8,121.5,80.9,22.91,44.5,27.22,120.1,18.2,1.5,14.4,0.9,19.9,123.1,53,30.4,250.7,13.9,0.7,30,5.5,2.89,5.9,0.4,3.5,,0.6,19.5,0.7,10.4,2.5,0.25,0.3,0.25,3,1.3,0.25,5.8,5,437,42,79,8.1,0.79,0.05
595923C,236267,119042,0.4,1.6,16.9,59.4,0.27,26,100,2.889,0.27,0.839,0.184,6.56,17.2,120.5,78.6,23.99,47.1,28.93,137.8,18.6,1,15.8,1.1,27,110.9,56.2,36.1,283.6,13.9,1.2,31.7,8.1,4.05,7.7,0.4,3.3,,0.4,31.8,0.5,10.5,3,0.25,1.8,0.25,3.9,1.1,0.25,8.4,4,400,37,71,2.9,0.78,0.05
595925C,239867,114464,0.6,1.1,17.4,60.2,0.29,500,100,2.889,0.44,0.811,0.347,6.81,13.7,108.9,82.7,28.53,51.9,26.31,126.4,20.1,1.6,24.6,0.8,17.1,117.3,79,31.2,340.6,13.7,1.2,34.9,7.4,3.47,8.3,0.1,3.3,,0.3,23.8,0.9,10.4,3,0.3,0.6,0.25,3.4,3.4,0.25,6.6,10,441,41,79,3.4,0.84,0.05
595926C,235870,115757,0.5,1.8,18.2,62.1,0.2,500,100,3.003,0.22,0.856,0.133,6.94,13.8,127.6,79.4,23.66,49,24.29,120.5,19.7,1.2,10.1,0.7,14,117.8,66.1,32.4,252.9,13.5,0.9,32.8,7,5.55,6.1,0.5,2.4,,0.8,26.6,0.9,10.4,2.4,0.4,0.3,0.25,4,1.3,0.25,4.2,3,433,40,76,3.6,0.77,0.05
595927C,231978,103996,0.2,1.3,12.5,67.2,0.16,500,100,2.722,0.19,0.688,0.368,4.76,10.8,73.8,71.3,20.1,30.5,13.7,121.6,11.5,1,16.5,1.2,28.9,101,30.4,29,376.5,12.4,0.4,31.5,4.8,4.05,9.3,0.7,4.6,,0.6,31.6,0.15,9.4,2.6,0.25,0.9,0.25,3.4,3.8,0.25,8.4,7,344,44,87,2.8,0.71,0.05
595928C,233564,95084,0.4,1.6,12.6,63.3,0.21,23,100,2.576,0.47,0.742,0.336,5.03,12.8,92.9,73.6,23.02,32.2,44.67,193.2,13.7,0.7,20.9,2,47.2,96.9,42.3,34.8,410.4,14.2,1.6,30.5,6,5.09,9.5,1.4,4.5,,0.7,44.8,0.7,9.6,3.3,0.25,0.5,0.25,4.3,3.5,0.25,24.8,5,491,42,82,3.9,1.14,0.13
595929C,309098,147525,1.3,1.4,20.4,63.6,0.17,500,100,3.076,0.24,0.947,0.096,5.98,15.8,119.1,104.3,23.12,37.5,27.72,95.6,22.6,1.3,14.7,0.2,2.5,121.7,107.5,30.6,271.4,17.1,1.1,36.3,5.5,5.32,6.9,0.4,3.1,,0.6,22.1,0.9,10.2,3.2,0.5,0.25,0.25,3.6,1.7,0.25,1.5,5,565,40,75,6,1.48,0.05
595930C,234962,132504,0.2,1.9,13.4,60.8,0.23,500,100,2.722,1.4,0.724,0.309,5.59,13.6,87.9,99.8,22.58,46.8,21.77,79.6,13.3,0.8,15.6,0.6,29.8,100.6,47.1,29,531.3,13.2,1,27.3,3.4,2.54,12,0.5,2.5,,0.1,18.4,0.6,10,3.4,0.25,0.5,0.25,2.2,1.2,0.2,11.7,4,372,39,71,3.4,0.75,0.05
595932C,233936,99075,0.4,1.5,13.1,63.2,0.21,500,100,2.68,0.34,0.69,0.638,5.95,11.6,86.8,61.8,103.43,46.4,30.85,334.9,14,0.8,28.2,1.7,20.3,102.6,42.6,35.3,331.2,13.5,1.7,36.3,5.2,4.97,9.3,0.8,4.4,,0.1,24.6,0.8,10.1,2.7,0.3,2.3,0.25,5.3,3.4,0.25,11.4,5,503,45,86,3,0.88,0.05
595933C,240155,131973,0.1,1.2,10.9,52.1,0.27,113,100,2.461,5.75,0.638,0.322,4.62,1.5,70.4,68.4,17.4,32.6,18.44,80.1,12,0.5,15.4,0.8,28.9,96,50.7,29.1,487.9,12.2,0.8,23.2,4.1,4.05,12,0.2,2.7,,0.5,20.5,0.3,8.9,2.7,0.25,0.6,0.25,2.4,1.3,0.4,12.2,5,348,35,63,3,0.79,0.05
595935C,236962,120327,0.3,1.5,16.6,60.3,0.28,500,100,3.076,0.74,0.795,0.298,7.03,16,116.5,80.2,28.42,55.5,36.6,167.6,17.8,1.3,14.6,1.4,45.9,123,63.5,36,306.2,13.6,1.2,29.9,5.8,5.32,7.3,0.6,3.1,,0.9,29.8,0.8,9.5,3.1,0.1,1.6,0.25,7.1,1,0.2,16.5,6,433,39,72,3.4,0.95,0.88
595936C,284835,160795,2.4,0.7,11.3,65.5,0.25,500,100,2.701,1.14,0.444,0.092,2.15,7,34.3,33.4,7.13,8.2,10.57,55.3,12.2,1.2,4.3,0.4,11.9,135.2,114.6,22.9,534.8,10.9,0.4,25.9,8.5,3,13.1,1.9,2.2,,1,28.8,0.6,16.5,4.9,0.25,0.2,0.25,13.9,0.6,0.25,2.5,9,294,49,91,2.2,0.85,0.16
595938C,234951,115099,0.3,1.8,19.3,58.7,0.21,500,100,3.348,0.14,0.855,0.311,7.48,16.4,125.7,89.4,26.37,47.3,30.14,128.2,20.8,0.8,15.2,0.7,18.6,132.5,56.5,30.6,221.2,13.5,0.9,31.2,4.8,4.28,4.3,0.6,3.7,,0.9,17.5,0.4,10.5,2.3,0.3,0.4,0.25,3.4,1.8,0.25,6,5,477,42,77,10.1,1.01,0.18
595939C,286824,154973,0.9,1,12.7,58.3,0.17,500,100,2.607,0.49,0.652,0.156,3.51,9.2,57,43,14.26,11.6,14.4,71.8,14.4,1.1,40.6,0.7,31.5,100.7,85.3,19.7,164.7,11.6,0.5,21.7,4.4,2.54,3.8,1.2,5.8,,0.6,30,0.9,6.7,2.7,0.1,0.25,0.1,9.9,0.3,0.25,6,11,383,26,51,6,1.36,0.05
595940C,240978,105278,0.4,1.2,15.7,53.2,0.34,200,100,2.962,0.4,0.74,0.816,6.42,14.6,109.1,73.3,51.22,57.4,38.72,371.8,18.3,1.3,86.6,3,31.8,118,65.4,54.1,281,13.9,2.1,43.8,7.4,4.39,7.1,0.3,4.4,,0.8,34.5,1.1,9.7,3.2,0.8,4.1,0.25,2.5,3.2,0.25,20.5,4,718,48,77,4.3,1.05,0.29
595941C,242021,114933,0.4,1.4,16.2,60.9,0.23,500,100,2.836,0.73,0.793,0.319,6.37,14.1,106.8,79.8,27.77,43.3,28.73,124.2,17.1,0.8,17.5,1.5,40.4,113.7,63.7,31,302.9,13.3,1,33.5,6.3,4.05,7.7,0.5,3,,0.6,26.3,0.7,10,3.2,0.25,0.7,0.2,5.1,2.5,0.25,17.5,6,408,40,77,3.6,0.86,0.56
595942C,231947,100473,0.3,1.5,16.6,58.8,0.23,500,100,3.369,0.28,0.755,1.188,6.5,13.3,102.4,75.7,64.19,65.8,56.99,195.6,18.6,1.3,27.1,2.5,21.8,134.4,50,38.2,244.3,13.9,2.3,35.9,4.7,5.55,6,0.8,4.5,,0.8,24.1,0.9,10.6,3.4,1,1.7,0.2,2.9,4,0.25,15,6,677,45,86,3.7,0.87,0.12
595944C,230175,98395,0.1,1.3,15.8,71,0.09,73,100,3.483,0.09,0.677,0.139,4.37,12.5,147.4,66.5,17.72,22.9,71.21,78.1,17,0.7,26.6,1.4,17.1,137.9,30.1,31.6,303.2,15.1,4.3,33.3,3.4,3.12,7.2,0.1,3.5,,0.7,41,0.5,10.6,3.8,0.25,0.2,0.4,3.1,3.9,0.25,5.8,6,1047,42,82,3.7,1.46,0.52
595945C,284856,151289,2.4,0.8,14.6,60.4,0.14,500,100,3.671,0.55,0.469,0.081,2.48,7.7,43.6,26.6,3.56,6.3,10.16,64.7,17.2,1.2,20.4,0.2,17.4,206.4,86.7,13.4,153.2,9.7,0.5,20.2,2.3,1.5,3.7,1.9,2.1,,0.8,34.4,0.6,10,4.4,0.2,0.2,0.25,12.6,0.25,0.25,3.2,13,304,31,57,2.9,0.61,0.05
595946C,242320,112272,0.8,1,18.2,61.2,0.31,500,100,3.16,0.22,0.829,0.588,7.43,14.4,105.3,83.9,25.93,53.8,21.06,126.1,19,1.4,16,0.8,10.2,126.6,87.1,30.4,301.6,14.2,1,32.6,6.3,4.51,6.7,1.6,3.7,,0.2,20.3,0.8,10.2,2.8,0.25,0.4,0.25,2.6,4.4,0.25,7.9,7,501,43,81,2.9,0.82,0.05
595947C,240149,114664,0.7,1.2,18.1,60.2,0.26,500,100,3.014,0.33,0.843,0.666,7.57,15.1,118.3,84.3,36.2,62.5,27.62,155.3,19.2,1.1,24.4,1,27.8,121.9,80.9,32.7,343.7,14.7,1.3,36.7,5,5.09,9.4,0.7,3.5,,0.2,25.6,1.2,10.5,2.9,0.4,0.7,0.25,2.8,3.4,0.2,13.2,9,489,43,82,3.1,0.91,0.19
595949C,233506,99447,0.4,1.5,14.4,64,0.23,500,100,2.91,0.31,0.716,0.464,6.28,12.1,99.6,66.5,77.16,45.3,46.69,308.8,15.1,0.7,35.7,1.7,16.6,113.5,45.6,35.9,285.6,13.6,2.3,37.2,4.4,5.43,7.4,0.3,5,,0.3,25.3,0.7,9.3,3.6,0.5,2.1,0.25,5.1,3.5,0.25,10.5,6,620,42,80,3.8,0.99,0.48
595950C,239177,112751,0.8,1,19,62.8,0.21,500,100,2.962,0.3,0.856,0.322,7.08,18.3,108.7,86.2,26.26,47.5,23.99,121,20.8,1.3,21.1,1.2,25.2,123.7,85,29,309.6,15.6,0.9,30.5,4.9,4.28,9.5,0.5,3.5,,0.4,23.1,0.5,10.8,2.8,0.4,0.3,0.25,3.1,4.4,0.25,9.4,10,482,43,82,6.2,1.76,0.05
595951C,229461,100406,0.15,1.2,13.6,64.8,0.14,500,100,3.296,0.16,0.668,0.521,5.16,11.4,88.2,79,45.93,26.9,23.28,67.3,13.4,1,26,1.2,44.2,125.7,22.2,29.4,393.6,12.9,0.7,28.1,3,3.35,9.4,1.6,3.5,,0.5,36.1,0.5,10.2,3.7,0.25,0.25,0.25,2.7,4.9,0.25,16.2,12,413,39,77,3.7,0.9,0.15
595953C,232595,96705,0.3,1.5,13.5,66.9,0.17,500,100,2.92,0.26,0.744,0.218,4.97,10.2,100.2,69.4,23.02,29.5,45.38,155.6,14.1,1.2,22.5,1.7,30.2,111.8,36.5,38.3,472.9,16,2.1,34.2,6.5,4.28,11.2,0.9,4.4,,0.3,38.1,1,10.9,3.1,0.25,0.8,0.25,4.5,4.3,0.25,9.6,6,539,48,94,3.3,0.94,0.34
595954C,235039,113384,0.5,1.6,17,62.6,0.21,500,100,3.014,0.18,0.862,0.26,6.4,14.8,112,81.4,25.61,34,20.86,93.6,18.1,1.8,14.6,1,16.4,119.6,55.8,32.2,291.8,15,0.5,30.4,5,4.16,6.7,0.2,5.1,,0.25,16.7,0.7,11,2,0.25,0.25,0.25,3.2,2.7,0.25,5.9,6,387,45,88,7.2,0.86,0.27
595955C,230363,97976,0.2,1.6,16.6,73.7,0.1,500,100,3.567,0.18,0.672,0.243,4.77,14.5,140,69.1,25.07,26.6,52.95,119.4,17.5,1.4,23.9,0.9,13.3,143.7,34.2,31.9,244.3,14.8,3.6,34.1,6.4,3.93,6.1,0.5,3.8,,1,41.7,0.8,10.8,3.2,0.25,0.4,0.25,3.7,3.7,0.25,5.7,6,986,41,78,4,1.55,0.73
595956C,235982,132556,0.3,2.2,14.6,59.1,0.25,500,100,3.014,1.63,0.724,0.307,6.13,10.9,95,101.7,24.85,54.5,23.79,92.5,16.5,0.9,15.8,0.6,23.2,110.9,48.9,29.3,360.7,13,0.9,28.6,4.9,5.2,7.8,0.7,2.9,,0.5,19.8,0.6,9.1,2.5,0.1,0.2,0.25,2.3,1.7,0.1,6.7,5,407,37,70,3.5,0.79,0.17
595957C,238101,97435,0.8,2.5,13.1,50.4,0.35,277,100,2.471,0.92,0.635,1.35,7.2,15.8,116.7,71.2,174.54,159.4,95.74,2310.2,15.8,0.4,43.9,4,84.3,92.1,78.7,44.4,220.4,11,3.2,37.6,7.7,6.59,4.8,0.5,5.7,,0.7,50.3,1,8,3.4,0.1,19.5,0.25,5,2.5,0.25,42.7,4,723,36,67,3.6,1.87,0.25
595958C,241158,117954,0.1,1.2,14.5,66.9,0.22,500,100,3.358,1.18,0.698,0.18,5.65,14.2,89.4,78.9,18.26,39.3,22.37,89.8,14.5,0.9,13.5,0.5,5.9,125.1,38.4,29.6,415,12.8,0.7,30.7,4.1,3.47,10.4,0.3,2.9,,0.3,27.7,0.8,9,2,0.25,0.3,0.25,2.3,1.7,0.25,2,7,431,40,73,3.6,1.06,0.53
595959C,233469,102404,0.2,1.9,15.2,64,0.19,500,100,3.212,0.18,0.672,0.237,6.2,15.8,76.7,59.9,20.31,27.8,22.27,129.2,18,1.4,35,0.9,22.9,143.8,36.2,38.6,318.2,14.4,1,37.1,6.3,6.01,8.2,1.3,4.8,,0.5,19.3,0.9,11,3.4,0.25,0.7,0.25,3.4,3.8,0.25,5.9,8,430,45,87,4.6,0.76,0.5
595960C,324399,177479,0.9,2.1,14.8,61.2,0.24,500,100,2.461,0.88,1.042,0.385,6.42,16.2,112.4,81.2,23.88,38.6,31.56,122.7,16,0.8,16.9,0.7,15.2,90.2,90.5,35.6,309.1,16.3,1.2,34,5,3.47,8,1.2,3.5,,0.1,36.6,0.2,9.4,2.5,0.25,0.2,0.25,4.7,1.5,0.25,7.7,4,430,39,75,7.4,1.41,0.51
595961C,240203,132012,0.1,1.3,13.2,60.5,0.19,500,100,3.4,4.44,0.672,0.17,5.09,1.5,72.4,78.5,15.77,33.9,16.42,60.2,13.4,1.2,16.1,0.3,3.6,124.2,45.5,30.6,573.7,12.3,0.7,33.6,4.5,4.51,14.5,0.2,3,,0.2,16.4,0.6,9.3,3,0.25,0.2,0.25,2,1.1,0.3,1.9,7,406,43,76,3,0.75,0.05
595962C,322020,175888,1.1,1.4,19.7,57.2,0.14,500,100,2.878,0.21,0.86,0.436,7.82,16.5,119.5,103.9,30.8,59.1,34.38,158.7,22.5,2.1,27.6,0.4,19.3,124.4,100.8,28.8,225.3,14.5,1.3,40.3,4.5,4.39,5.7,1.6,3.8,,0.2,48.7,0.7,11.3,2.5,0.1,0.1,0.25,3.5,2.7,0.25,7.7,11,463,46,88,4.2,1.68,0.68
595963C,241543,103199,0.2,1.3,12.7,55.4,0.35,435,6,2.68,0.44,0.642,0.485,5.36,9.1,83.3,64.9,37.82,59.1,37.71,343.4,16.2,1.3,37.3,2,34.2,109.4,45.8,32.6,276.1,11.6,1,32.8,6.7,2.66,6.7,0.5,4,,0.4,36.7,0.9,9,2.9,0.25,4.1,0.25,7.2,3.8,0.1,10.6,5,444,39,72,21.7,1,0.52
595964C,236294,112083,0.5,1.2,17.4,58.8,0.18,500,100,3.39,0.25,0.833,0.166,7.69,15.9,114.9,86,22.26,34.9,20.86,84.3,20.3,1.5,28.3,1.3,34.8,138.6,59.7,31.1,242.3,13.7,1.1,34.6,5.4,2.43,6.1,0.5,3.8,,0.5,20.9,0.8,11.1,2.6,0.4,0.4,0.25,3,3.1,0.25,15.1,10,435,44,84,4.3,1.08,0.37
595965C,234884,111545,0.1,1.2,16.5,62.1,0.07,500,100,4.37,0.21,0.803,0.097,4.34,11,102.5,74.6,14.05,20,6.53,39.9,17.9,1.5,12.5,0.6,30.2,179.2,33.1,27.6,260.4,13.7,0.5,28.9,3.3,3.81,6.6,0.7,5.2,,0.5,14.8,1.1,10.5,2.6,0.25,0.3,0.25,3.3,2.9,0.25,4.8,13,429,44,83,4,0.78,0.28
595967C,236812,97207,0.5,1.7,12.9,62.4,0.2,500,100,2.44,0.39,0.703,0.432,5.41,10,82.1,66.1,50.68,38.1,31.05,236.9,12.8,1.2,23.6,1.3,33.5,92.1,46.3,32.4,354.1,13.3,1.2,32.2,8,6.36,8,1.5,4.7,,0.6,25.8,0.5,9.8,3,0.25,1,0.25,4.4,3.1,0.25,14.6,5,400,43,81,4.4,1,0.33
595968C,232481,101783,0.2,1.4,14.7,63.4,0.19,500,100,3.108,0.18,0.743,0.174,5.45,15.3,90.3,71.6,25.29,30.4,37.81,97.1,16.1,1.4,24.8,1,14.1,122.4,36.7,30.4,347.5,14.9,1,29.1,5.2,4.62,9.4,1.4,5,,0.4,24,0.5,10.1,2.6,0.5,0.5,0.25,3.4,4.2,0.25,5.5,8,531,42,81,3.3,0.78,0.18
595969C,228474,117897,0.3,1.8,16.5,59,0.21,500,100,2.743,0.23,0.872,0.232,6.08,14.5,109,99.2,25.93,48.9,22.27,160.6,16.8,1.4,13,1,61.1,106.5,35.2,30.6,349.5,14,0.5,28.5,5.8,3.81,8.9,0.4,3.6,,0.7,22.5,1.3,10.7,2.7,0.25,0.2,0.25,3,2.6,0.25,12.3,5,369,40,77,4.1,1,0.32
595971C,238243,114086,0.5,1.4,17.1,60,0.21,500,100,2.983,0.32,0.819,0.336,6.72,15,116.1,79.7,32.09,48.9,26.11,129.1,19.5,1.5,16.8,1,28.6,119,65.8,31.7,257.9,13.7,1,32.5,1.8,4.28,7.4,0.6,3.7,,0.6,22.3,0.7,10.4,2.6,0.1,0.7,0.25,3.6,2.5,0.25,8.5,6,441,40,77,3.7,0.86,0.6
595972C,234096,108763,0.1,1.3,13.5,61.4,0.15,500,100,3.285,0.15,0.704,0.141,5.51,11.8,82.8,68.8,15.02,29.5,9.05,74,14.2,1.4,21.4,1.3,56.7,134.5,29.6,29.3,316.7,12.8,0.7,31.2,5,2.66,7.6,0.5,4.3,,0.3,20,0.4,10.9,2.5,0.25,0.3,0.1,3.3,4,0.2,8.6,10,404,45,88,4,0.77,0.39
