Sample_ID,Easting_ING,Northing_ING,pH,SEC_µScm,HCO3_mgL,NPOC_mgL,Cl_mgL_IC,SO4_mgL_IC,NO3_mgL_IC,Br_mgL_IC,NO2_mgL_IC,HPO4_mgL_IC,F_mgL_IC,Li_µgL_ICPMS,Be_µgL_ICPMS,B_µgL_ICPMS,Na_mgL_ICPMS,Mg_mgL_ICPMS,Al_µgL_ICPMS,Si_µgL_ICPMS,P_mgL_ICPMS,S_mgL_ICPMS,K_mgL_ICPMS,Ca_mgL_ICPMS,Ti_µgL_ICPMS,V_µgL_ICPMS,Cr_µgL_ICPMS,Mn_µgL_ICPMS,Fe_µgL_ICPMS,Co_µgL_ICPMS,Ni_µgL_ICPMS,Cu_µgL_ICPMS,Zn_µgL_ICPMS,Ga_µgL_ICPMS,As_µgL_ICPMS,Se_µgL_ICPMS,Rb_µgL_ICPMS,Sr_µgL_ICPMS,Y_µgL_ICPMS,Zr_µgL_ICPMS,Nb_µgL_ICPMS,Mo_µgL_ICPMS,Ag_µgL_ICPMS,Cd_µgL_ICPMS,Sn_µgL_ICPMS,Sb_µgL_ICPMS,Cs_µgL_ICPMS,Ba_µgL_ICPMS,La_µgL_ICPMS,Ce_µgL_ICPMS,Pr_µgL_ICPMS,Nd_µgL_ICPMS,Sm_µgL_ICPMS,Eu_µgL_ICPMS,Tb_µgL_ICPMS,Gd_µgL_ICPMS,Dy_µgL_ICPMS,Ho_µgL_ICPMS,Er_µgL_ICPMS,Tm_µgL_ICPMS,Yb_µgL_ICPMS,Lu_µgL_ICPMS,Hf_µgL_ICPMS,Ta_µgL_ICPMS,W_µgL_ICPMS,Tl_µgL_ICPMS,Pb_µgL_ICPMS,Bi_µgL_ICPMS,Th_µgL_ICPMS,U_µgL_ICPMS
587405W,181464,389169,7.05,57,9.27,8.31,17.487,1.971,0.093,0.01,0.005,0.05,0.005,0.418,0.0031,2.5,10.46,1.605,21.3,684,0.0019,0.7,0.374,5.17,0.673,0.152,0.107,23.98,736.4,0.126,0.17,0.2,0.78,0.041,0.53,0.059,0.42,20.933,0.1289,0.058,0.0015,0.015,0.025,0.0005,0.044,0.0159,0.0036,5.03,0.064,0.137,0.018,0.071,0.018,0.004,0.003,0.022,0.021,0.004,0.014,0.002,0.015,0.003,0.005,0.001,0.01,0.005,0.12,0.005,0.0082,0.012
587406W,181362,389390,6.99,81,3.41,8.23,17.818,1.723,0.025,0.01,0.005,0.05,0.005,0.452,0.0025,2.5,10.98,1.784,22.8,893,0.002,0.25,0.352,6.43,0.722,0.184,0.234,63.38,893.5,0.224,0.22,0.182,0.784,0.038,0.64,0.049,0.443,24.437,0.179,0.12,0.0024,0.015,0.025,0.0019,0.078,0.0151,0.003,7.19,0.086,0.187,0.025,0.094,0.029,0.007,0.004,0.031,0.028,0.006,0.02,0.003,0.019,0.004,0.046,0.001,0.01,0.005,0.101,0.005,0.0267,0.016
587407W,188102,415429,7.13,37,6.22,4.45,16.073,2.226,0.025,0.02,0.005,0.05,0.005,1.244,0.0082,2.5,9.85,1.478,57,2265,0.0016,0.8,0.515,1.3,1.044,0.201,0.088,3.87,157,0.034,0.05,0.05,0.478,0.03,0.06,0.057,0.565,15.647,0.0395,0.045,0.0038,0.05,0.025,0.0011,0.029,0.0107,0.0103,3.49,0.04,0.102,0.01,0.033,0.009,0.002,0.001,0.008,0.009,0.001,0.005,0.001,0.003,0.001,0.023,0.001,0.01,0.005,0.024,0.005,0.011,0.081
587408W,172901,394463,6.82,51,19.63,9.18,34.001,4.846,0.473,0.1,0.005,0.05,0.005,0.989,0.0121,2.5,19.43,3.551,87.6,1987,0.0042,1.75,0.828,5.88,1.147,0.288,0.249,62.61,519,0.2,0.28,0.372,2.207,0.045,0.17,0.053,1.149,38.174,0.1558,0.111,0.004,0.015,0.025,0.0037,0.025,0.0149,0.0109,4.12,0.133,0.294,0.035,0.139,0.032,0.009,0.005,0.034,0.026,0.005,0.017,0.002,0.016,0.003,0.02,0.001,0.01,0.005,0.087,0.005,0.0229,0.045
587409W,190664,417517,7.23,42,7.44,6.36,16.562,3.178,0.141,0.01,0.005,0.05,0.005,0.285,0.0044,2.5,9.75,1.352,80.4,871,0.0005,0.95,0.475,1.03,1.034,0.327,0.076,5.21,95,0.091,0.18,0.524,1.635,0.042,0.08,0.072,0.448,8.795,0.054,0.03,0.002,0.015,0.025,0.0041,0.03,0.0175,0.0047,3.79,0.038,0.083,0.011,0.039,0.008,0.004,0.001,0.012,0.011,0.001,0.006,0.001,0.005,0.001,0.014,0.001,0.01,0.005,0.069,0.005,0.0079,0.004
587411W,197423,433613,6.85,107,35.36,4.86,37.034,14.619,0.025,0.11,0.005,0.69,0.018,0.956,0.0064,2.5,19.06,4.296,30.6,3030,0.143,5.15,1.234,10.84,0.384,0.186,0.114,189.63,1156.5,0.978,1.64,1.107,2.534,0.016,0.12,0.044,1.332,51.079,0.3097,0.074,0.0025,0.015,0.025,0.0106,0.029,0.0155,0.0059,28.43,0.168,0.218,0.033,0.125,0.03,0.007,0.005,0.039,0.037,0.008,0.028,0.004,0.027,0.005,0.005,0.001,0.01,0.005,0.01,0.005,0.016,0.009
587412W,190498,421038,7.25,83,36.58,5.09,20.86,4.177,0.29,0.03,0.005,0.05,0.005,0.499,0.0023,2.5,12.21,3.053,23.4,1536,0.0014,1.46,0.675,10.86,0.572,0.154,0.102,29.13,305,0.089,0.21,0.547,1.174,0.03,0.1,0.056,1.257,46.475,0.0617,0.033,0.0021,0.015,0.025,0.0036,0.036,0.0233,0.0114,4.41,0.032,0.06,0.008,0.023,0.009,0.001,0.001,0.009,0.01,0.002,0.006,0.001,0.007,0.001,0.005,0.001,0.01,0.005,0.044,0.005,0.0058,0.042
587414W,185903,420828,7.21,43,6.34,3.9,21.53,3.589,0.597,0.05,0.005,0.05,0.005,0.393,0.0061,2.5,12.07,1.566,65.6,1790,0.0005,1.11,0.698,0.97,0.886,0.237,0.081,4.66,55.4,0.071,0.13,0.212,1.78,0.033,0.06,0.058,0.587,9.902,0.0352,0.022,0.0013,0.015,0.025,0.0049,0.032,0.1881,0.0036,3.3,0.039,0.085,0.012,0.042,0.008,0.003,0.001,0.01,0.009,0.001,0.004,0.001,0.003,0.001,0.005,0.001,0.01,0.005,0.06,0.005,0.0081,0.009
587415W,183297,388753,6.89,53,17.43,4.48,15.665,2.119,0.025,0.02,0.005,0.05,0.005,0.268,0.0059,2.5,9.48,2.864,39.4,2561,0.0014,0.69,0.441,3.63,0.796,0.272,0.364,20.52,463,0.179,0.2,0.132,1.119,0.03,0.27,0.02,0.445,15.143,0.1086,0.034,0.0014,0.015,0.025,0.0026,0.039,0.0109,0.0014,2.23,0.036,0.09,0.011,0.038,0.013,0.005,0.003,0.018,0.018,0.004,0.012,0.001,0.013,0.001,0.005,0.001,0.01,0.005,0.061,0.005,0.008,0.033
587416W,175827,413104,6.74,113,70.71,12.96,46.503,6.827,0.164,0.14,0.005,0.05,0.005,1.793,0.0267,2.5,26.62,3.759,85.1,1759,0.0524,2.43,1.503,8.39,2.142,0.424,0.165,4.16,405.1,0.043,0.19,0.328,3.659,0.037,0.22,0.058,1.686,56.613,0.1038,0.115,0.0109,0.222,0.025,0.0026,0.01,0.0272,0.0262,3.85,0.09,0.161,0.023,0.075,0.023,0.005,0.003,0.022,0.02,0.003,0.011,0.001,0.01,0.001,0.005,0.001,0.01,0.005,0.133,0.005,0.0127,0.112
587417W,198904,433611,6.89,105,45.11,5.48,34.347,5.118,0.294,0.09,0.005,0.05,0.005,0.525,0.0021,2.5,19.35,3.802,26.7,2361,0.0031,1.67,0.945,12.36,0.342,0.184,0.105,129.45,467.8,0.325,0.42,1.452,1.668,0.033,0.13,0.063,1.152,51.149,0.12,0.054,0.0027,0.015,0.025,0.0047,0.028,0.0151,0.004,10.25,0.043,0.089,0.012,0.032,0.013,0.004,0.002,0.015,0.02,0.004,0.014,0.001,0.016,0.003,0.005,0.001,0.01,0.005,0.01,0.005,0.0065,0.005
587419W,172608,394569,5.89,79,6.58,9.57,36.803,4.592,0.11,0.06,0.005,0.05,0.005,0.847,0.0105,2.5,20.32,2.603,97.5,457,0.0005,1.54,0.714,1.98,1.335,0.33,0.193,16.33,383,0.1,0.15,0.182,4.108,0.044,0.15,0.047,0.81,20.484,0.0717,0.045,0.0027,0.015,0.025,0.004,0.035,0.0148,0.0155,2.08,0.083,0.203,0.021,0.073,0.015,0.002,0.002,0.015,0.014,0.003,0.009,0.001,0.008,0.001,0.005,0.001,0.01,0.005,0.248,0.005,0.0121,0.019
587420W,201555,431062,7.07,56,8.17,9.55,20.315,5.169,0.025,0.03,0.005,0.05,0.005,0.292,0.0028,2.5,11.89,2.337,73.7,883,0.0212,1.81,0.758,3.13,0.968,0.18,0.086,15.78,242.2,0.083,0.26,0.359,1.34,0.042,0.14,0.099,1.199,23.266,0.0483,0.045,0.0019,0.065,0.025,0.0056,0.055,0.0249,0.0078,22.36,0.023,0.047,0.007,0.022,0.01,0.002,0.001,0.01,0.009,0.001,0.005,0.001,0.003,0.001,0.005,0.001,0.01,0.005,0.097,0.005,0.0073,0.049
587421W,186827,421312,7.72,49,9.39,10.49,20.725,3.223,0.025,0.02,0.005,0.05,0.005,0.125,0.0069,2.5,12.13,1.531,78.7,429,0.0005,1.22,0.546,0.82,1.883,0.278,0.071,6.44,155.7,0.114,0.14,0.299,2.798,0.005,0.13,0.093,0.404,9.377,0.0611,0.023,0.0027,0.067,0.025,0.0046,0.057,0.0639,0.0052,2.21,0.055,0.112,0.015,0.067,0.013,0.003,0.002,0.014,0.01,0.002,0.007,0.001,0.006,0.001,0.005,0.001,0.01,0.017,0.295,0.005,0.0025,0.003
587422W,182701,414024,7.45,53,14.51,6.78,25.029,4.396,0.127,0.03,0.005,0.05,0.015,1.143,0.018,2.5,14.55,2.24,56.6,1119,0.0012,1.46,0.688,4.42,0.765,0.15,0.071,7.69,113.2,0.036,0.14,0.293,1.493,0.034,0.08,0.056,0.897,29.445,0.0594,0.022,0.0023,0.088,0.025,0.0052,0.033,0.0154,0.0395,4.16,0.063,0.1,0.014,0.055,0.01,0.003,0.001,0.012,0.01,0.001,0.006,0.001,0.004,0.001,0.005,0.001,0.01,0.005,0.048,0.005,0.0061,0.076
587423W,175800,392600,6.2,71,27.31,7.42,22.49,2.08,0.025,0.05,0.034,0.05,0.023,0.938,0.008,2.5,13.5,2.615,58,2255,0.0069,0.77,0.519,6.85,1.41,0.368,0.379,32.3,855.3,0.178,0.41,0.226,1.241,0.032,0.2,0.052,1.168,27.039,0.2714,0.083,0.0036,0.059,0.025,0.0078,0.03,0.0117,0.0294,7.12,0.203,0.477,0.052,0.206,0.047,0.01,0.007,0.049,0.045,0.008,0.032,0.004,0.03,0.005,0.005,0.001,0.01,0.005,0.098,0.005,0.0213,0.025
587424W,185827,389156,7.04,35,10.61,3.98,13.372,1.906,0.025,0.03,0.005,0.05,0.01,0.125,0.0024,2.5,7.85,1.705,33.9,954,0.0005,0.55,0.418,2.71,0.448,0.158,0.236,17.98,181.5,0.062,0.18,0.175,0.498,0.04,0.2,0.052,0.581,12.858,0.0753,0.03,0.0012,0.015,0.025,0.0015,0.027,0.0133,0.0014,1.14,0.031,0.071,0.01,0.037,0.012,0.002,0.001,0.012,0.014,0.003,0.009,0.001,0.009,0.001,0.005,0.001,0.01,0.005,0.01,0.005,0.0067,0.026
587425W,186828,393617,7.33,57,26.09,4.8,17.669,2.185,0.025,0.01,0.005,0.05,0.014,0.322,0.0043,2.5,10.62,1.771,25.8,1243,0.0005,0.61,0.169,7.76,0.485,0.143,0.096,140.86,784.7,0.142,0.33,0.248,0.919,0.052,0.37,0.048,0.388,49.308,0.3343,0.107,0.0015,0.035,0.025,0.0069,0.01,0.0128,0.0005,22.69,0.225,0.432,0.058,0.23,0.052,0.009,0.007,0.055,0.05,0.01,0.036,0.005,0.044,0.008,0.005,0.001,0.01,0.005,0.038,0.005,0.0154,0.072
587426W,183697,388693,6.99,47,17.19,4.03,15.513,1.792,0.025,0.03,0.005,0.05,0.016,0.125,0.0055,2.5,9.24,2.489,36.4,2430,0.002,0.5,0.513,2.85,0.817,0.251,0.397,27.8,477.3,0.214,0.22,0.287,2.137,0.016,0.24,0.02,0.513,12.503,0.1146,0.033,0.0005,0.015,0.025,0.0055,0.024,0.0111,0.0005,1.95,0.041,0.101,0.013,0.039,0.015,0.005,0.003,0.019,0.021,0.004,0.014,0.001,0.014,0.002,0.005,0.001,0.01,0.005,0.07,0.005,0.0073,0.011
587427W,184751,414114,5.88,49,9.88,10.02,21.318,3.645,0.025,0.03,0.021,0.05,0.005,0.523,0.014,2.5,12.57,1.638,46.2,862,0.0013,1.2,0.463,1.11,0.847,0.237,0.112,13.29,362,0.052,0.05,0.05,2.373,0.035,0.1,0.076,0.404,11.913,0.0438,0.03,0.0031,0.04,0.025,0.0103,0.038,0.0213,0.0174,1.71,0.052,0.115,0.011,0.034,0.008,0.002,0.001,0.009,0.008,0.001,0.004,0.001,0.004,0.001,0.005,0.001,0.01,0.005,0.171,0.005,0.0067,0.011
587428W,175875,413642,7.97,111,39.01,9.03,46.185,10.759,0.025,0.21,0.218,0.05,0.029,3.114,0.0667,2.5,28.33,4.013,106.4,1687,0.0221,3.93,1.826,6.73,1.959,0.527,0.303,24.11,536.7,0.168,0.34,0.792,3.682,0.042,0.23,0.106,1.994,53.711,0.2482,0.289,0.0281,0.268,0.025,0.0005,0.045,0.0503,0.0295,4.07,0.17,0.323,0.042,0.156,0.041,0.008,0.007,0.046,0.042,0.009,0.026,0.004,0.028,0.004,0.012,0.001,0.01,0.005,0.132,0.005,0.039,0.306
587429W,201241,433256,7.45,115,47.55,6.74,31.588,9.419,0.025,0.09,0.053,0.05,0.027,0.428,0.0058,12.7,17.63,4.119,45.7,2018,0.0587,3.61,1.304,18.7,0.824,0.189,0.16,101.2,632.8,0.567,0.74,1.339,12.71,0.043,0.18,0.09,1.937,101.477,0.1786,0.126,0.0045,0.045,0.025,0.0045,0.416,0.0217,0.0081,24.14,0.095,0.172,0.028,0.098,0.027,0.007,0.005,0.031,0.03,0.006,0.021,0.003,0.025,0.004,0.005,0.001,0.01,0.005,0.023,0.005,0.017,0.037
587431W,174998,392092,4.45,49,19.63,10.91,24.478,1.853,0.086,0.05,0.005,0.05,0.005,0.393,0.0067,2.5,13.78,1.6,81.5,885,0.0005,0.6,0.363,1.09,1.566,0.252,0.301,13.26,648.2,0.176,0.2,0.11,1.597,0.042,0.15,0.055,0.584,12.113,0.1079,0.028,0.003,0.015,0.025,0.0108,0.036,0.0195,0.0251,6.22,0.177,0.411,0.038,0.138,0.028,0.006,0.004,0.023,0.018,0.003,0.011,0.001,0.012,0.001,0.005,0.001,0.01,0.005,0.356,0.005,0.0147,0.014
587433W,186980,414150,6.45,44,5.97,7.4,16.288,3.122,0.025,0.01,0.005,0.05,0.005,0.721,0.0075,2.5,10.07,1.334,77.6,1262,0.0147,1.12,0.757,1.1,1.231,0.26,0.106,8.26,119.5,0.063,0.12,0.137,1.571,0.042,0.1,0.07,0.721,12.963,0.0395,0.026,0.0042,0.015,0.025,0.0065,0.038,0.0492,0.0132,2.9,0.052,0.121,0.012,0.037,0.011,0.001,0.001,0.008,0.008,0.001,0.004,0.001,0.004,0.001,0.005,0.001,0.01,0.005,0.075,0.005,0.0082,0.067
587435W,180717,388430,7.19,40,5.61,6.46,16.267,1.829,0.165,0.01,0.005,0.05,0.005,0.125,0.0017,2.5,9.41,1.055,28,153,0.0005,0.81,0.51,1.18,0.717,0.111,0.053,10.91,142,0.021,0.05,0.165,0.627,0.048,0.15,0.083,0.348,8.673,0.035,0.01,0.001,0.015,0.025,0.0005,0.054,0.0205,0.0038,2.68,0.03,0.065,0.008,0.03,0.009,0.001,0.001,0.007,0.007,0.001,0.003,0.001,0.004,0.001,0.005,0.001,0.01,0.005,0.159,0.005,0.0025,0.006
587436W,180633,388323,7.08,47,5.85,7.48,15.297,1.994,0.203,0.01,0.005,0.05,0.005,0.125,0.0027,2.5,9.47,1.174,30.7,602,0.0005,0.72,0.425,2.1,0.825,0.17,0.073,26.24,465.7,0.08,0.05,0.05,1.397,0.057,0.16,0.061,0.307,11.711,0.0615,0.08,0.0022,0.015,0.025,0.0028,0.046,0.02,0.0031,6.83,0.049,0.122,0.013,0.05,0.012,0.003,0.001,0.012,0.011,0.002,0.006,0.001,0.006,0.001,0.063,0.001,0.01,0.005,0.191,0.005,0.0196,0.004
587437W,202377,397651,6.62,74,37.8,7.08,13.643,2.767,0.025,0.01,0.005,0.05,0.005,0.343,0.0044,2.5,8.21,1.353,46.8,1617,0.009,1.13,0.3,2.75,1.088,0.187,0.135,28.66,758.8,0.189,0.4,0.332,2.133,0.055,0.25,0.048,0.728,11.64,0.2315,0.075,0.0043,0.015,0.025,0.0038,0.022,0.0169,0.0041,1.41,0.129,0.284,0.038,0.167,0.036,0.005,0.006,0.042,0.036,0.007,0.024,0.003,0.021,0.003,0.032,0.001,0.01,0.005,0.029,0.005,0.0275,0.013
587438W,201167,431219,6.83,78,31.7,4.82,20.924,8.169,0.079,0.01,0.005,0.05,0.013,0.514,0.0011,2.5,12.38,5.515,18.7,1306,0.0005,3.08,0.571,8.85,0.181,0.068,0.025,28.19,59.4,0.059,0.16,0.176,1.208,0.042,0.08,0.02,0.726,27.919,0.0172,0.033,0.0005,0.095,0.025,0.0005,0.039,0.0128,0.0005,110.54,0.008,0.011,0.001,0.018,0.002,0.001,0.001,0.002,0.003,0.001,0.001,0.001,0.001,0.001,0.018,0.001,0.01,0.005,0.01,0.005,0.0062,0.081
587439W,177345,420864,6.91,153,48.77,9.59,59.218,6.715,0.025,0.25,0.005,0.05,0.041,1.388,0.0136,2.5,31.58,5.315,18.7,651,0.0053,2.69,1.984,19.66,0.294,0.131,0.136,442.21,617.8,0.302,0.36,0.16,0.71,0.06,0.25,0.101,2.655,153.756,0.0567,0.094,0.0056,0.632,0.025,0.002,0.023,0.032,0.0227,12.28,0.05,0.09,0.011,0.033,0.008,0.003,0.001,0.009,0.009,0.001,0.005,0.001,0.007,0.001,0.02,0.001,0.01,0.005,0.01,0.005,0.0132,0.085
587440W,174214,393630,6.3,64,13.53,10.24,28.714,2.678,0.09,0.03,0.005,0.05,0.005,0.608,0.0107,2.5,16.35,2.498,54.3,1001,0.0005,0.86,0.42,2.49,1.077,0.237,0.226,30.23,580.5,0.079,0.16,0.245,2.928,0.046,0.1,0.062,0.546,17.923,0.1175,0.072,0.0023,0.015,0.025,0.0025,0.036,0.0134,0.0113,2.78,0.109,0.244,0.028,0.097,0.026,0.005,0.003,0.02,0.02,0.004,0.014,0.001,0.013,0.002,0.01,0.001,0.01,0.005,0.124,0.005,0.0141,0.023
587441W,187662,393675,7.55,60,26.46,3.9,14.49,2.982,0.025,0.01,0.005,0.05,0.005,0.125,0.0054,2.5,8.77,1.6,13.4,702,0.0018,0.84,0.343,7.46,0.394,0.095,0.073,27.15,770.9,0.099,0.25,0.266,1.432,0.044,0.74,0.02,0.647,51.561,0.1587,0.064,0.0005,0.015,0.025,0.0019,0.023,0.0152,0.0065,18.59,0.053,0.101,0.015,0.054,0.018,0.004,0.003,0.023,0.022,0.005,0.017,0.002,0.018,0.003,0.005,0.001,0.01,0.005,0.038,0.005,0.0134,0.023
587442W,187587,421256,6.57,44,8.17,8.24,22.547,2.902,0.025,0.02,0.005,0.05,0.005,0.268,0.0106,2.5,12.49,1.712,82.8,1721,0.0034,0.82,0.865,1.37,1.687,0.39,0.108,8.78,171.7,0.102,0.13,0.05,0.968,0.056,0.1,0.078,0.663,12.601,0.0841,0.053,0.0033,0.015,0.025,0.0038,0.029,0.0153,0.0037,3.53,0.06,0.164,0.019,0.072,0.017,0.004,0.002,0.017,0.016,0.003,0.01,0.001,0.006,0.001,0.01,0.001,0.01,0.005,0.105,0.005,0.0118,0.007
587443W,175461,393184,7.21,59,21.46,10.73,28.758,2.994,0.025,0.07,0.005,0.05,0.012,0.527,0.0167,2.5,16.18,2.222,68.4,162,0.0026,1.14,0.472,2.79,1.41,0.378,0.334,22.18,603.5,0.098,0.62,0.243,1.1,0.055,0.16,0.071,0.813,18.075,0.2435,0.073,0.0037,0.015,0.025,0.0035,0.027,0.0139,0.0306,4.39,0.504,0.968,0.105,0.381,0.065,0.013,0.007,0.056,0.042,0.008,0.026,0.003,0.025,0.004,0.005,0.001,0.01,0.005,0.124,0.005,0.0235,0.043
587444W,169506,389693,7.33,48,7.44,4.24,19.372,2.592,0.025,0.05,0.005,0.05,0.005,0.125,0.0013,2.5,10.91,2.198,27.5,1293,0.0005,0.63,0.628,3.3,0.625,0.156,0.183,3.57,218.7,0.034,0.25,0.184,0.712,0.055,0.07,0.043,0.993,15.725,0.1301,0.071,0.003,0.015,0.025,0.0005,0.025,0.0093,0.0045,3.82,0.118,0.195,0.033,0.147,0.031,0.006,0.005,0.032,0.029,0.005,0.016,0.001,0.016,0.002,0.005,0.001,0.01,0.005,0.01,0.005,0.0164,0.058
587445W,187910,421112,7.1,56,11.22,7.81,25.413,3.323,0.025,0.06,0.005,0.05,0.015,0.352,0.0079,2.5,13.81,2.014,93.1,2966,0.0015,1.1,1.107,1.33,1.489,0.528,0.139,10.57,243.7,0.162,0.27,0.311,1.225,0.045,0.08,0.063,0.965,13.567,0.1105,0.04,0.0026,0.015,0.025,0.0073,0.033,0.0201,0.0041,6.83,0.071,0.173,0.022,0.082,0.023,0.006,0.003,0.023,0.02,0.004,0.012,0.001,0.01,0.001,0.005,0.001,0.01,0.005,0.093,0.005,0.0089,0.012
587446W,186694,394328,6.97,61,20.36,1.7,17.106,3.713,0.079,0.06,0.005,0.05,0.005,0.339,0.0018,2.5,10.11,2.338,3.9,1027,0.0005,1.02,0.256,9.34,0.025,0.04,0.025,5.05,56,0.032,0.23,0.05,0.431,0.035,0.06,0.02,0.35,57.952,0.0173,0.01,0.0005,0.015,0.025,0.0005,0.029,0.0073,0.0005,1.82,0.004,0.007,0.001,0.005,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.003,0.001,0.005,0.001,0.01,0.005,0.01,0.005,0.0025,0.009
587447W,170500,389750,7.16,55,17.56,2.02,20.852,2.842,0.119,0.05,0.005,0.05,0.005,0.125,0.0047,2.5,10.73,2.26,14.2,840,0.0005,0.9,0.568,3.58,0.159,0.117,0.127,2.75,34.4,0.027,0.18,0.258,1,0.061,0.04,0.02,1.082,16.23,0.0572,0.027,0.0005,0.015,0.025,0.0041,0.02,0.0083,0.0018,6.53,0.033,0.05,0.009,0.034,0.01,0.002,0.001,0.011,0.011,0.002,0.007,0.001,0.008,0.001,0.005,0.001,0.01,0.005,0.01,0.005,0.0025,0.043
587449W,188767,393910,7.1,55,31.7,5.37,16.34,3.551,0.137,0.02,0.023,0.05,0.005,0.125,0.0038,2.5,9.91,1.758,17.5,976,0.0005,1.22,0.37,7.53,0.422,0.109,0.051,13.08,119,0.041,0.23,0.207,1.42,0.066,0.16,0.047,0.545,56.174,0.0789,0.026,0.0013,0.015,0.025,0.0064,0.02,0.0149,0.0005,11.3,0.046,0.055,0.011,0.046,0.01,0.001,0.001,0.012,0.012,0.002,0.008,0.001,0.007,0.001,0.005,0.001,0.01,0.005,0.01,0.005,0.0025,0.017
587450W,184501,389196,6.94,47,17.92,6.06,14.812,2.127,0.108,0.04,0.005,0.05,0.005,0.125,0.0015,2.5,8.89,2.078,24.6,905,0.0005,0.51,0.217,4.04,0.821,0.143,0.133,5.69,169.1,0.044,0.11,0.05,1.021,0.067,0.18,0.063,0.31,11.97,0.0308,0.024,0.0015,0.015,0.025,0.0011,0.027,0.016,0.0012,0.41,0.012,0.023,0.004,0.026,0.005,0.001,0.001,0.005,0.006,0.001,0.003,0.001,0.003,0.001,0.005,0.001,0.01,0.005,0.048,0.005,0.0025,0.005
587451W,178082,414295,6.75,76,35.36,11.03,38.101,3.423,0.264,0.14,0.005,0.05,0.042,3.894,0.0499,2.5,23.96,3.176,82.6,2308,0.0078,1.42,0.971,3.89,2.214,0.374,0.319,26.81,820,0.077,0.15,0.315,2.843,0.005,0.18,0.074,0.953,28.311,0.1596,0.201,0.0174,0.095,0.025,0.0017,0.051,0.0174,0.0246,2.72,0.088,0.196,0.021,0.033,0.023,0.005,0.005,0.027,0.027,0.005,0.018,0.003,0.016,0.003,0.051,0.001,0.01,0.005,0.184,0.005,0.044,0.119
587452W,187129,413890,6.51,42,6.34,5.88,17.392,3.281,0.194,0.03,0.005,0.05,0.005,0.764,0.0078,2.5,11.15,1.342,72,1151,0.0016,1.09,0.461,1.42,0.878,0.2,0.074,17.87,132.3,0.038,0.05,5.371,1.761,0.005,0.1,0.077,0.493,11.246,0.0457,0.041,0.007,0.015,0.025,0.0005,0.045,0.1533,0.0056,1.29,0.08,0.199,0.017,0.022,0.009,0.004,0.001,0.01,0.009,0.001,0.005,0.001,0.004,0.001,0.024,0.001,0.01,0.01,0.088,0.005,0.0154,0.182
587454W,202221,431258,6.87,40,5.97,11.4,23.944,4.463,0.085,0.04,0.005,0.05,0.011,0.507,0.0057,2.5,15.26,2.213,110.5,608,0.0055,1.52,0.361,1.57,1.39,0.232,0.115,22.59,588.3,0.172,0.41,0.436,2.612,0.005,0.19,0.082,0.478,17.625,0.0694,0.054,0.0045,0.037,0.025,0.0118,0.032,0.0272,0.0005,5.11,0.04,0.088,0.01,0.005,0.009,0.003,0.002,0.015,0.01,0.002,0.007,0.001,0.006,0.001,0.014,0.001,0.01,0.005,0.321,0.005,0.0097,0.01
587455W,182288,387972,6.93,49,19.51,8.68,15.643,2.977,0.025,0.04,0.005,0.05,0.005,0.49,0.0054,2.5,10.32,1.948,46.5,1134,0.0075,1.32,0.162,5.02,1.423,0.234,0.189,26.62,609.8,0.227,0.33,0.278,1.317,0.005,0.99,0.068,0.268,20.295,0.0823,0.036,0.0037,0.037,0.025,0.0039,0.029,0.0182,0.0005,5.65,0.032,0.084,0.007,0.005,0.011,0.005,0.001,0.013,0.014,0.002,0.008,0.001,0.01,0.001,0.01,0.001,0.01,0.005,0.076,0.005,0.0114,0.018
587456W,189310,419175,7.14,109,59.74,3.98,18.139,2.584,0.025,0.03,0.005,0.05,0.005,0.442,0.0027,2.5,10.73,1.677,42.1,1835,0.0042,0.76,0.747,1.39,0.782,0.253,0.098,5.46,98.8,0.048,0.05,0.272,1.382,0.005,0.07,0.052,0.565,12.064,0.0375,0.01,0.003,0.015,0.025,0.0005,0.01,0.0119,0.0005,2.81,0.027,0.06,0.007,0.005,0.009,0.001,0.001,0.008,0.006,0.001,0.004,0.001,0.003,0.001,0.005,0.001,0.01,0.005,0.066,0.005,0.0068,0.004
587457W,197534,433856,6.68,68,11.95,5.16,35.246,12.005,0.025,0.16,0.005,1.03,0.063,1.052,0.0053,13.9,21.25,5.211,51.1,3851,0.4562,4.36,2.119,20.4,1.628,0.424,0.189,54.33,611.2,0.33,0.89,3.271,2.098,0.005,0.2,0.098,1.576,94.888,0.2361,0.115,0.0051,0.107,0.025,0.0027,0.041,0.0303,0.0041,17.65,0.32,0.578,0.07,0.232,0.058,0.009,0.009,0.055,0.045,0.009,0.026,0.003,0.025,0.004,0.015,0.001,0.01,0.005,0.254,0.005,0.0312,0.076
